dish,ingredients
apple_pie,"[{""ingredient"": ""all-purpose flour"", ""quantity"": ""2.5 cups""}, {""ingredient"": ""unsalted butter"", ""quantity"": ""1 cup""}, {""ingredient"": ""apples"", ""quantity"": ""6 medium""}, {""ingredient"": ""granulated sugar"", ""quantity"": ""3/4 cup""}, {""ingredient"": ""brown sugar"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""cinnamon"", ""quantity"": ""1 tsp""}, {""ingredient"": ""nutmeg"", ""quantity"": ""1/4 tsp""}, {""ingredient"": ""lemon juice"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""1/2 tsp""}, {""ingredient"": ""ice water"", ""quantity"": ""6 tbsp""}]"
baby_back_ribs,"[{""ingredient"": ""baby back ribs"", ""quantity"": ""2 racks""}, {""ingredient"": ""brown sugar"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""paprika"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""garlic powder"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""onion powder"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""cayenne pepper"", ""quantity"": ""1/2 tsp""}, {""ingredient"": ""salt"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""black pepper"", ""quantity"": ""1 tsp""}, {""ingredient"": ""BBQ sauce"", ""quantity"": ""1 cup""}, {""ingredient"": ""apple cider vinegar"", ""quantity"": ""2 tbsp""}]"
baklava,"[{""ingredient"": ""phyllo dough"", ""quantity"": ""1 lb""}, {""ingredient"": ""walnuts"", ""quantity"": ""2 cups""}, {""ingredient"": ""pistachios"", ""quantity"": ""1 cup""}, {""ingredient"": ""unsalted butter"", ""quantity"": ""1 cup""}, {""ingredient"": ""cinnamon"", ""quantity"": ""1 tsp""}, {""ingredient"": ""sugar"", ""quantity"": ""1 cup""}, {""ingredient"": ""water"", ""quantity"": ""1 cup""}, {""ingredient"": ""honey"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""lemon juice"", ""quantity"": ""1 tbsp""}, {""ingredient"": ""vanilla extract"", ""quantity"": ""1 tsp""}]"
beef_carpaccio,"[{""ingredient"": ""beef tenderloin"", ""quantity"": ""200g""}, {""ingredient"": ""arugula"", ""quantity"": ""1 cup""}, {""ingredient"": ""Parmesan cheese"", ""quantity"": ""50g""}, {""ingredient"": ""olive oil"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""lemon juice"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""capers"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""Dijon mustard"", ""quantity"": ""1 tsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""black pepper"", ""quantity"": ""to taste""}]"
beef_tartare,"[{""ingredient"": ""beef tenderloin"", ""quantity"": ""250g""}, {""ingredient"": ""egg yolk"", ""quantity"": ""2""}, {""ingredient"": ""Dijon mustard"", ""quantity"": ""1 tsp""}, {""ingredient"": ""capers"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""shallot"", ""quantity"": ""1 small""}, {""ingredient"": ""Worcestershire sauce"", ""quantity"": ""1 tsp""}, {""ingredient"": ""Tabasco sauce"", ""quantity"": ""1/2 tsp""}, {""ingredient"": ""olive oil"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""parsley"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}]"
beet_salad,"[{""ingredient"": ""beets"", ""quantity"": ""4 medium""}, {""ingredient"": ""arugula"", ""quantity"": ""2 cups""}, {""ingredient"": ""goat cheese"", ""quantity"": ""100g""}, {""ingredient"": ""walnuts"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""olive oil"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""balsamic vinegar"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""honey"", ""quantity"": ""1 tsp""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""black pepper"", ""quantity"": ""to taste""}]"
beignets,"[{""ingredient"": ""all-purpose flour"", ""quantity"": ""3.5 cups""}, {""ingredient"": ""warm water"", ""quantity"": ""1.5 cups""}, {""ingredient"": ""active dry yeast"", ""quantity"": ""2.25 tsp""}, {""ingredient"": ""sugar"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""salt"", ""quantity"": ""1 tsp""}, {""ingredient"": ""egg"", ""quantity"": ""1""}, {""ingredient"": ""evaporated milk"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""shortening"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""powdered sugar"", ""quantity"": ""2 cups""}, {""ingredient"": ""oil for frying"", ""quantity"": ""4 cups""}]"
bibimbap,"[{""ingredient"": ""white rice"", ""quantity"": ""2 cups""}, {""ingredient"": ""ground beef"", ""quantity"": ""200g""}, {""ingredient"": ""spinach"", ""quantity"": ""1 cup""}, {""ingredient"": ""bean sprouts"", ""quantity"": ""1 cup""}, {""ingredient"": ""carrots"", ""quantity"": ""1 medium""}, {""ingredient"": ""zucchini"", ""quantity"": ""1 medium""}, {""ingredient"": ""shiitake mushrooms"", ""quantity"": ""6""}, {""ingredient"": ""eggs"", ""quantity"": ""4""}, {""ingredient"": ""gochujang"", ""quantity"": ""3 tbsp""}, {""ingredient"": ""sesame oil"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""soy sauce"", ""quantity"": ""2 tbsp""}, {""ingredient"": ""garlic"", ""quantity"": ""3 cloves""}]"
bread_pudding,"[{""ingredient"": ""stale bread"", ""quantity"": ""6 cups""}, {""ingredient"": ""whole milk"", ""quantity"": ""2 cups""}, {""ingredient"": ""heavy cream"", ""quantity"": ""1 cup""}, {""ingredient"": ""eggs"", ""quantity"": ""4""}, {""ingredient"": ""sugar"", ""quantity"": ""3/4 cup""}, {""ingredient"": ""vanilla extract"", ""quantity"": ""2 tsp""}, {""ingredient"": ""cinnamon"", ""quantity"": ""1 tsp""}, {""ingredient"": ""nutmeg"", ""quantity"": ""1/4 tsp""}, {""ingredient"": ""raisins"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""unsalted butter"", ""quantity"": ""2 tbsp""}]"
breakfast_burrito,"[{""ingredient"": ""flour tortillas"", ""quantity"": ""4 large""}, {""ingredient"": ""eggs"", ""quantity"": ""6""}, {""ingredient"": ""bacon"", ""quantity"": ""6 strips""}, {""ingredient"": ""cheddar cheese"", ""quantity"": ""1 cup""}, {""ingredient"": ""bell pepper"", ""quantity"": ""1""}, {""ingredient"": ""onion"", ""quantity"": ""1/2""}, {""ingredient"": ""salsa"", ""quantity"": ""1/2 cup""}, {""ingredient"": ""sour cream"", ""quantity"": ""1/4 cup""}, {""ingredient"": ""salt"", ""quantity"": ""to taste""}, {""ingredient"": ""black pepper"", ""quantity"": ""to taste""}]"
